0 0 0 0.1125 -0.7 0.999987
0 0 1 0.0833333 -0.05 0.294475
561 0.01 0 0.1125 -0.699977 0.999958
561 0.01 1 0.0833333 -0.059986 0.294348
1111 0.02 0 0.1125 -0.699976 0.999961
1111 0.02 1 0.0833333 -0.0699715 0.294349
1661 0.03 0 0.1125 -0.69999 0.999965
1661 0.03 1 0.0833333 -0.0799568 0.294352
2211 0.04 0 0.1125 -0.699957 0.999968
2211 0.04 1 0.0833333 -0.0899419 0.294353
2761 0.05 0 0.1125 -0.699954 0.999973
2761 0.05 1 0.0833333 -0.099927 0.294355
3311 0.06 0 0.1125 -0.699959 0.999978
3311 0.06 1 0.0833333 -0.109912 0.294359
3861 0.07 0 0.1125 -0.699975 0.999984
3861 0.07 1 0.0833332 -0.119897 0.294362
4411 0.08 0 0.1125 -0.699975 0.99999
4411 0.08 1 0.0833332 -0.129881 0.294366
4961 0.09 0 0.1125 -0.699972 0.999996
4961 0.09 1 0.0833332 -0.139866 0.294368
5561 0.1 0 0.1125 -0.699969 1
5561 0.1 1 0.0833332 -0.149849 0.294377
6937 0.11 0 0.195833 -0.470131 0.69976
7945 0.12 0 0.195833 -0.474355 0.699821
8682 0.13 0 0.195833 -0.47856 0.699936
9324 0.14 0 0.195833 -0.482751 0.70011
9895 0.15 0 0.195833 -0.486886 0.700349
10454 0.16 0 0.195833 -0.490998 0.700656
11004 0.17 0 0.195833 -0.495052 0.701032
11572 0.18 0 0.195833 -0.49905 0.701478
11572 0.18 1 1.48763e-07 -0.679909 0.00241189
12122 0.19 0 0.195833 -0.503032 0.701995
12122 0.19 1 1.48744e-07 -0.682509 0.00456156
12672 0.2 0 0.195833 -0.506944 0.702582
13255 0.21 0 0.195833 -0.510796 0.703242
13851 0.22 0 0.195833 -0.514583 0.703972
14401 0.23 0 0.195833 -0.518329 0.704774
14951 0.24 0 0.195833 -0.522009 0.705648
15501 0.25 0 0.195833 -0.525617 0.706592
16051 0.26 0 0.195833 -0.529163 0.707608
16601 0.27 0 0.195833 -0.532648 0.708694
17151 0.28 0 0.195833 -0.536054 0.70985
17701 0.29 0 0.195833 -0.539409 0.711076
18251 0.3 0 0.195833 -0.542669 0.712371
18801 0.31 0 0.195833 -0.545876 0.713734
19351 0.32 0 0.195833 -0.549013 0.715165
19901 0.33 0 0.195833 -0.552068 0.716663
20451 0.34 0 0.195833 -0.555052 0.718227
21001 0.35 0 0.195832 -0.557961 0.719856
21551 0.36 0 0.195832 -0.5608 0.72155
22101 0.37 0 0.195832 -0.563547 0.723307
22651 0.38 0 0.195832 -0.56623 0.725127
23201 0.39 0 0.195832 -0.5688 0.727007
23751 0.4 0 0.195832 -0.571333 0.72895
24301 0.41 0 0.195832 -0.573812 0.730953
24851 0.42 0 0.195832 -0.576189 0.733014
25401 0.43 0 0.195832 -0.57848 0.735133
25951 0.44 0 0.195832 -0.580714 0.737308
26501 0.45 0 0.195832 -0.582855 0.739538
27051 0.46 0 0.195832 -0.584928 0.741824
27601 0.47 0 0.195832 -0.586924 0.744162
28151 0.48 0 0.195832 -0.588829 0.746552
28701 0.49 0 0.195832 -0.590673 0.748994
29251 0.5 0 0.195832 -0.592444 0.751484
29801 0.51 0 0.195832 -0.594135 0.754023
30351 0.52 0 0.195832 -0.595752 0.756611
30901 0.53 0 0.195832 -0.597302 0.759245
31451 0.54 0 0.195832 -0.59878 0.761924
32001 0.55 0 0.195832 -0.60018 0.764647
32551 0.56 0 0.195832 -0.601513 0.767412
33101 0.57 0 0.195832 -0.602774 0.77022
33651 0.58 0 0.195832 -0.603964 0.773069
34201 0.59 0 0.195832 -0.605067 0.775956
34751 0.6 0 0.195832 -0.606131 0.778882
35301 0.61 0 0.195832 -0.607102 0.781844
35851 0.62 0 0.195832 -0.608024 0.784844
36401 0.63 0 0.195832 -0.608884 0.787878
36951 0.64 0 0.195832 -0.609673 0.790946
