xVals,yVals
0.099970902,0.00557964
0.115351041,0.006436899
0.13073118,0.007592338
0.146111319,0.008407526
0.161491458,0.009523235
0.176871597,0.010194807
0.192251735,0.011287008
0.207631874,0.012200115
0.223012013,0.012903664
0.238392152,0.013810179
0.253772291,0.014331242
0.26915243,0.01486574
0.284532568,0.0152324
0.299912707,0.016348347
0.315292846,0.015976618
0.330672985,0.014804257
0.346053124,0.014715269
0.361433263,0.014482498
0.376813402,0.01417097
0.39219354,0.013729058
0.407573679,0.013381452
0.422953818,0.013367777
0.438333957,0.013289141
0.453714096,0.013158764
0.469094235,0.013262468
0.484474373,0.013388552
0.499854512,0.013545202
0.515234651,0.013717143
0.53061479,0.013967989
0.545994929,0.014245435
