xVals,yVals
0.023993017,0.003869944
0.042449183,0.006637086
0.06090535,0.010720782
0.079361516,0.015136024
0.097817683,0.018771981
0.11627385,0.022580535
0.134730016,0.024146864
0.153186183,0.026662019
0.171642349,0.029307473
0.190098516,0.03095663
0.208554683,0.032525256
0.227010849,0.03397664
0.245467016,0.035276448
0.263923182,0.03646518
0.282379349,0.037809025
0.300835516,0.039461637
0.319291682,0.04136095
0.337747849,0.043395688
0.356204015,0.045901967
0.374660182,0.049053593
0.393116349,0.052486372
0.411572515,0.05624683
0.430028682,0.060562378
0.448484848,0.065235575
0.466941015,0.070184928
0.485397182,0.075522067
0.503853348,0.080913797
