times,H005,H007,H032,H010,H022,H060,H100
0.005,0.000176672,,0.000763411,0.000857974,0.000700409,0.000707874,0.000656648
0.007,0.001541143,,0.001035794,0.00109836,0.001051245,0.000996211,0.000996356
0.009,0.00171255,0.001676414,0.0011185,0.001566175,0.001266293,0.001167092,0.001206475
0.011,0.002477752,0.001847742,0.001410938,0.001701817,0.0014735,0.001290747,0.001287487
0.013,0.002939424,0.002547419,0.0016775,0.002114932,0.0017405,0.00158764,0.001642992
0.015,0.00378062,0.0031872,0.00196361,0.0025625,0.002005089,0.001807972,0.00183664
0.017,0.004824902,0.003754585,0.002187251,0.003093746,0.002330317,0.002173,0.002124
0.019,0.006403899,0.004817423,0.0025995,0.003766277,0.002736047,0.0025295,0.002465
0.021,0.008439821,0.006261772,0.002974236,0.004670013,0.00327814,0.002992101,0.002858124
0.023,0.01069342,0.008226839,0.003675764,0.005883577,0.003915135,0.003538262,0.003446362
0.025,0.013074689,0.010432761,0.004491976,0.007298122,0.004727239,0.00427121,0.004122236
0.027,0.015471028,0.012611904,0.005323831,0.00885741,0.005660734,0.005105172,0.004932206
0.029,0.017845207,0.014873284,0.006288135,0.010520563,0.006729141,0.006083758,0.005833671
0.031,0.02013722,0.017114406,0.007426485,0.012391647,0.00776947,0.007141425,0.006803874
0.033,0.022259053,0.019269597,0.008482381,0.014446124,0.00881001,0.008277486,0.007788923
0.035,0.024322169,0.021284721,0.009437201,0.016483094,0.009621262,0.009251629,0.008713355
0.037,0.026330551,0.023238706,0.010306495,0.018364743,0.010226884,0.010162664,0.009539117
0.039,0.028429166,0.025280702,0.010907196,0.020168259,0.01061108,0.010885101,0.010174934
0.041,0.030644089,0.027264663,0.011268698,0.021991465,0.010677245,0.011486226,0.01064422
0.043,0.032987656,0.029295932,0.011267982,0.023956061,,0.011639295,0.01086057
0.045,0.035443513,0.031452569,0.011184732,0.02595788,0.010579056,0.011621944,0.010881696
0.047,0.037993662,0.033693485,0.011095126,0.028071375,0.010576595,0.011548122,0.010790398
0.049,0.040646231,0.035942993,0.010995934,0.030264928,0.010628816,0.011421548,0.010751776
0.051,0.043427245,0.038394675,0.010997413,0.032440401,0.010803533,0.011331489,0.010701529
0.053,0.046200375,0.040901563,0.011072099,0.034600085,0.011006184,0.011293637,0.010738162
0.055,0.049107606,0.043461428,0.011146561,0.036733577,0.011361583,0.011258322,0.01082827
