xVals,yVals
0.039988361,0.004383676
0.058444528,0.006774073
0.076900694,0.009266352
0.095356861,0.011953869
0.113813027,0.014498683
0.132269194,0.016734452
0.150725361,0.019011195
0.169181527,0.020985079
0.187637694,0.021030019
0.20609386,0.022214288
0.224550027,0.023104904
0.243006194,0.023760482
0.26146236,0.024047324
0.279918527,0.024394412
0.298374693,0.024482097
0.31683086,0.024782444
0.335287027,0.024847111
0.353743193,0.025253066
0.37219936,0.025625813
0.390655526,0.026153872
0.409111693,0.026983649
0.42756786,0.02779461
0.446024026,0.029015042
0.464480193,0.03024427
0.482936359,0.031925332
0.501392526,0.033825765
0.519848693,0.035775844
0.538304859,0.038313601
0.556761026,0.040786896
