xVals,yVals
0.119965083,0.005823523
0.13842125,0.006646099
0.156877416,0.007687294
0.175333583,0.008554995
0.193789749,0.009664486
0.212245916,0.010515807
0.230702083,0.011395464
0.249158249,0.012102307
0.267614416,0.01320012
0.286070582,0.013606027
0.304526749,0.014676498
0.322982916,0.015262363
0.341439082,0.016233832
0.359895249,0.017269488
0.378351415,0.018709976
0.396807582,0.020781686
0.415263749,0.022408763
0.433719915,0.02433249
0.452176082,0.026189855
0.470632248,0.02750862
0.489088415,0.029074117
0.507544582,0.030483079
0.526000748,0.031837694
0.544456915,0.033353677
