hstar,We,outcome,satellites
0.0576080967304312,454.126558698392,lamella,0
0.0616268204302125,351.18562979361,lamella,0
0.0689012676578262,272.296494296731,lamella,0
0.0693619316144565,402.901891365431,lamella,0
0.0723875352988164,192.933434145738,lamella,0
0.0730866372242703,363.369140717425,lamella,0
0.0733299476929075,298.546620385128,lamella,0
0.0755809411132401,520.64618312272,lamella,0
0.0763533996564032,448.790054378808,lamella,0
0.0769189768457688,349.195140300282,lamella,0
0.0785538458500845,300.951638364277,lamella,0
0.0789987591408156,529.680548626303,lamella,1
0.0832690861718975,301.077137900816,lamella,0
0.0834465072497393,334.887879385346,lamella,0
0.0835960481752263,243.075912109295,lamella,0
0.0847411569497209,342.490762760181,lamella,1
0.087050506343972,247.122928320912,lamella,0
0.0872122935720381,194.082109678716,lamella,0
0.0886919753593825,418.171042326167,lamella,1
0.0912986755501034,459.318315267869,lamella,0
0.0914754461212733,247.870761127562,lamella,0
0.0928935781980024,191.103971089245,lamella,0
0.0936197717562973,501.374548991329,lamella,1
0.0944201531869782,362.139034859544,lamella,1
0.0974476437149031,359.852836011213,lamella,0
0.0978373008871631,282.132687170279,lamella,0
0.100198285091722,464.984088463348,lamella,0
0.10143703009966,340.416735622523,lamella,0
0.101593426245371,333.752421065804,lamella,0
0.101809655179347,191.5410360344,lamella,0
0.102730268510007,426.585600823161,lamella,0
0.106193063110957,193.070103481115,lamella,0
0.106622841551186,362.921712326253,lamella,0
0.108826611989565,251.497612927589,lamella,0
0.109604843084092,330.134746275726,lamella,0
0.111151718324086,365.817149505689,lamella,0
0.112064206140326,425.916094890597,lamella,0
0.113961704229138,272.213615409844,lamella,0
0.114040035160506,273.469312893029,lamella,0
0.114353613455456,331.577391189507,lamella,0
0.117256449082225,528.892504123566,lamella,1
0.118518881157031,358.062101917421,lamella,0
0.119735282890615,239.498353375828,lamella,0
0.121016066969207,245.413510933125,lamella,0
0.121297165669023,279.861019004436,lamella,0
0.12402069107633,331.445998217178,lamella,0
0.12574812358916,361.314249404935,lamella,0
0.126746254318645,317.22694128177,lamella,0
